Código do Município (IBGE);Município;Ano;População Total Urbana;Volume de esgoto produzido - 1000 m³;Volume de esgotos coletado - 1000 m³;Volume de esgotos tratado - 1000 m³
5214838.0;Nova Crixás;1993;10573;501.69;0.0;0.0
5214861.0;Nova Glória;1993;7470;354.45;0.0;0.0
5214879.0;Nova Iguaçu de Goiás;1993;3012;142.92;0.0;0.0
5214903.0;Nova Roma;1993;4346;206.22;0.0;0.0
5215009.0;Nova Veneza;1993;4484;212.77;0.0;0.0
5215207.0;Novo Brasil;1993;4301;204.08;0.0;0.0
5215231.0;Novo Gama;1993;0;0.0;0.0;0.0
5215256.0;Novo Planalto;1993;4152;197.01;0.0;0.0
5215306.0;Orizona;1993;11304;536.37;0.0;0.0
5215405.0;Ouro Verde de Goiás;1993;3926;186.29;0.0;0.0
5215504.0;Ouvidor;1993;3412;161.9;0.0;0.0
5215603.0;Padre Bernardo;1993;15853;752.22;0.0;0.0
5215652.0;Palestina de Goiás;1993;2765;131.2;0.0;0.0
5215702.0;Palmeiras de Goiás;1993;14973;710.47;0.0;0.0
5215801.0;Palmelo;1993;1956;92.81;0.0;0.0
5215900.0;Palminópolis;1993;3161;149.99;0.0;0.0
5216007.0;Panamá;1993;2179;103.39;0.0;0.0
5216304.0;Paranaiguara;1993;6903;327.55;0.0;0.0
5216403.0;Paraúna;1993;8635;409.73;0.0;0.0
5216452.0;Perolândia;1993;1329;63.06;0.0;0.0
5216809.0;Petrolina de Goiás;1993;9433;447.6;0.0;0.0
